section,arm,ds_variant,A,B,circular,n,n_strata,n_A,n_B,n_both,jaccard,chance,ratio_marginal,exp_both_stratified,sd_both_stratified,ratio_stratified,z
7001_liver_sham_Male_52-U1,sham,published,tierA_score,deepscence_published,False,139859,100,7037,7034,388,0.02836,0.02587,1.096,353.98,17.874,1.096,1.9
7001_liver_sham_Male_52-U1,sham,published,senepy_score,deepscence_published,False,108311,60,5434,5434,113,0.01051,0.02535,0.414,272.64,15.688,0.414,-10.18
7001_liver_sham_Male_52-U1,sham,published,cdkn1a_counts,deepscence_published,True,139859,100,3097,7034,155,0.01554,0.01561,0.995,155.84,11.985,0.995,-0.07
7001_liver_sham_Male_52-U1,sham,prolif,tierA_score,deepscence_prolif,False,139859,100,7037,7034,388,0.02836,0.02587,1.096,353.98,17.874,1.096,1.9
7001_liver_sham_Male_52-U1,sham,prolif,senepy_score,deepscence_prolif,False,108311,60,5434,5434,113,0.01051,0.02535,0.414,272.64,15.688,0.414,-10.18
7001_liver_sham_Male_52-U1,sham,prolif,cdkn1a_counts,deepscence_prolif,False,139859,100,3097,7034,155,0.01554,0.01561,0.995,155.84,11.985,0.995,-0.07
7001_liver_sham_Male_52-U1,sham,lmnb1,tierA_score,deepscence_lmnb1,False,139859,100,7037,7034,388,0.02836,0.02587,1.096,353.98,17.874,1.096,1.9
7001_liver_sham_Male_52-U1,sham,lmnb1,senepy_score,deepscence_lmnb1,False,108311,60,5434,5434,113,0.01051,0.02535,0.414,272.64,15.688,0.414,-10.18
7001_liver_sham_Male_52-U1,sham,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,139859,100,3097,7034,155,0.01554,0.01561,0.995,155.84,11.985,0.995,-0.07
7001_liver_sham_Male_52-U1,sham,consensus,tierA_score,deepscence_consensus,True,139859,100,7037,7037,307,0.0223,0.02572,0.867,354.14,17.878,0.867,-2.64
7001_liver_sham_Male_52-U1,sham,consensus,senepy_score,deepscence_consensus,True,108311,60,5434,5435,891,0.0893,0.02733,3.268,272.7,15.689,3.267,39.41
7001_liver_sham_Male_52-U1,sham,consensus,cdkn1a_counts,deepscence_consensus,True,139859,100,3097,7037,134,0.0134,0.01558,0.86,155.85,11.985,0.86,-1.82
7001_liver_sham_Male_52-U1,sham,abs,tierA_score,deepscence_abs,False,139859,100,7037,7036,448,0.03288,0.02598,1.265,354.09,17.877,1.265,5.25
7001_liver_sham_Male_52-U1,sham,abs,senepy_score,deepscence_abs,False,108311,60,5434,5435,306,0.02897,0.02581,1.122,272.7,15.689,1.122,2.12
7001_liver_sham_Male_52-U1,sham,abs,cdkn1a_counts,deepscence_abs,False,139859,100,3097,7036,172,0.01727,0.01564,1.104,155.86,11.986,1.104,1.35
