section,arm,threshold,A,B,n,n_A,n_B,n_both,jaccard,chance_jaccard,ratio,spearman
7001_liver_sham_Male_52-U1,sham,global_top5,tierA_score,senepy_score,108311,4668,5416,131,0.01316,0.02345,0.561,-0.0439
7001_liver_sham_Male_52-U1,sham,global_top5,tierA_score,deepscence_score,139859,6991,6993,428,0.03157,0.02579,1.224,0.0947
7001_liver_sham_Male_52-U1,sham,global_top5,tierA_score,cdkn1a_counts,139859,6991,1589,67,0.00787,0.00933,0.844,0.0286
7001_liver_sham_Male_52-U1,sham,global_top5,senepy_score,deepscence_score,108311,5416,5315,10,0.00093,0.02479,0.038,-0.3298
7001_liver_sham_Male_52-U1,sham,global_top5,senepy_score,cdkn1a_counts,108311,5416,1333,105,0.0158,0.01003,1.575,0.0352
7001_liver_sham_Male_52-U1,sham,global_top5,deepscence_score,cdkn1a_counts,139859,6993,1589,73,0.00858,0.00934,0.919,0.0479
7001_liver_sham_Male_52-U1,sham,within_type_top5,tierA_score,senepy_score,108311,5416,5417,120,0.0112,0.02528,0.443,-0.0439
7001_liver_sham_Male_52-U1,sham,within_type_top5,tierA_score,deepscence_score,139859,6995,6997,424,0.03125,0.02579,1.212,0.0947
7001_liver_sham_Male_52-U1,sham,within_type_top5,tierA_score,cdkn1a_counts,139859,6995,2787,99,0.01022,0.0144,0.71,0.0286
7001_liver_sham_Male_52-U1,sham,within_type_top5,senepy_score,deepscence_score,108311,5417,5418,133,0.01243,0.02532,0.491,-0.3298
7001_liver_sham_Male_52-U1,sham,within_type_top5,senepy_score,cdkn1a_counts,108311,5417,1566,175,0.02571,0.0115,2.234,0.0352
7001_liver_sham_Male_52-U1,sham,within_type_top5,deepscence_score,cdkn1a_counts,139859,6997,2787,121,0.01252,0.01443,0.868,0.0479
7239_liver_sbr_Male_52-U1,SBR,global_top5,tierA_score,senepy_score,45527,1503,2277,44,0.01178,0.02012,0.585,-0.0223
7239_liver_sbr_Male_52-U1,SBR,global_top5,tierA_score,deepscence_score,75384,3770,3770,206,0.02809,0.02571,1.093,0.0969
7239_liver_sbr_Male_52-U1,SBR,global_top5,tierA_score,cdkn1a_counts,75384,3770,2934,57,0.00858,0.02207,0.388,0.0423
7239_liver_sbr_Male_52-U1,SBR,global_top5,senepy_score,deepscence_score,45527,2277,2731,11,0.0022,0.02733,0.081,-0.2292
7239_liver_sbr_Male_52-U1,SBR,global_top5,senepy_score,cdkn1a_counts,45527,2277,2762,58,0.01164,0.02773,0.42,0.0465
7239_liver_sbr_Male_52-U1,SBR,global_top5,deepscence_score,cdkn1a_counts,75384,3770,2934,501,0.08077,0.02365,3.414,0.328
7239_liver_sbr_Male_52-U1,SBR,within_type_top5,tierA_score,senepy_score,45527,2277,2278,42,0.00931,0.02525,0.369,-0.0223
7239_liver_sbr_Male_52-U1,SBR,within_type_top5,tierA_score,deepscence_score,75384,3768,3770,321,0.04448,0.02611,1.703,0.0969
7239_liver_sbr_Male_52-U1,SBR,within_type_top5,tierA_score,cdkn1a_counts,75384,3768,1930,71,0.01262,0.01714,0.736,0.0423
7239_liver_sbr_Male_52-U1,SBR,within_type_top5,senepy_score,deepscence_score,45527,2278,2278,50,0.0111,0.0253,0.439,-0.2292
